Cluster_ID,N_States,N_Observations,P(-1),P(0),P(+1),Direction,Entropy,Gini,Classification_Error,Confidence
1,2,27,0.48148148148148145,0.5185185185185185,0.0,-0.48148148148148145,0.6924611526112308,0.4993141289437586,0.4814814814814815,0.5185185185185185
2,2,32,0.53125,0.375,0.09375,-0.4375,0.9257564180367234,0.568359375,0.46875,0.53125
3,5,97,0.5257731958762887,0.27835051546391754,0.1958762886597938,-0.3298969072164949,1.0133187799959584,0.6077160165798703,0.4742268041237113,0.5257731958762887
4,1,19,0.42105263157894735,0.42105263157894735,0.15789473684210525,-0.2631578947368421,1.0198652142779268,0.6204986149584488,0.5789473684210527,0.42105263157894735
5,12,222,0.45495495495495497,0.35135135135135137,0.19369369369369369,-0.26126126126126126,1.0437491581894902,0.6320509698888077,0.545045045045045,0.45495495495495497
6,2,38,0.42105263157894735,0.3684210526315789,0.21052631578947367,-0.21052631578947367,1.060118935939835,0.6426592797783934,0.5789473684210527,0.42105263157894735
7,3,77,0.4025974025974026,0.4025974025974026,0.19480519480519481,-0.2077922077922078,1.0512345167288468,0.63788159892056,0.5974025974025974,0.4025974025974026
8,15,268,0.30597014925373134,0.5634328358208955,0.13059701492537312,-0.17537313432835822,0.9514443842912572,0.571870126977055,0.43656716417910446,0.5634328358208955
9,6,116,0.3275862068965517,0.49137931034482757,0.1810344827586207,-0.14655172413793102,1.0241318503446037,0.6184601664684899,0.5086206896551724,0.49137931034482757
10,11,258,0.4108527131782946,0.32170542635658916,0.26744186046511625,-0.14341085271317833,1.083030657633988,0.6561805179977165,0.5891472868217054,0.4108527131782946
11,8,165,0.3939393939393939,0.3515151515151515,0.2545454545454545,-0.1393939393939394,1.082775830732031,0.6564554637281911,0.6060606060606061,0.3939393939393939
12,5,88,0.36363636363636365,0.4090909090909091,0.22727272727272727,-0.13636363636363638,1.0702359491930782,0.6487603305785123,0.5909090909090908,0.4090909090909091
13,4,96,0.3541666666666667,0.4270833333333333,0.21875,-0.13541666666666669,1.0634348189259792,0.6443142361111112,0.5729166666666667,0.4270833333333333
14,2,44,0.4090909090909091,0.2727272727272727,0.3181818181818182,-0.09090909090909094,1.0843629508682446,0.6570247933884297,0.5909090909090908,0.4090909090909091
15,2,46,0.34782608695652173,0.391304347826087,0.2608695652173913,-0.08695652173913043,1.0850111574581471,0.6578449905482042,0.6086956521739131,0.391304347826087
16,1,12,0.4166666666666667,0.25,0.3333333333333333,-0.08333333333333337,1.0775563270667978,0.6527777777777778,0.5833333333333333,0.4166666666666667
17,2,36,0.3611111111111111,0.3611111111111111,0.2777777777777778,-0.08333333333333331,1.091448543346651,0.662037037037037,0.6388888888888888,0.3611111111111111
18,4,83,0.3855421686746988,0.30120481927710846,0.3132530120481928,-0.07228915662650603,1.0925038065935249,0.6625054434605893,0.6144578313253012,0.3855421686746988
19,2,34,0.38235294117647056,0.29411764705882354,0.3235294117647059,-0.05882352941176466,1.0926240370360847,0.6626297577854672,0.6176470588235294,0.38235294117647056
20,3,47,0.3404255319148936,0.3617021276595745,0.2978723404255319,-0.04255319148936171,1.09540613321206,0.6645540968764146,0.6382978723404256,0.3617021276595745
21,1,26,0.34615384615384615,0.34615384615384615,0.3076923076923077,-0.038461538461538436,1.0971128947333777,0.665680473372781,0.6538461538461539,0.34615384615384615
22,1,37,0.3783783783783784,0.2702702702702703,0.35135135135135137,-0.02702702702702703,1.0888369615211388,0.660336011687363,0.6216216216216216,0.3783783783783784
23,42,942,0.2664543524416136,0.47770700636942676,0.25583864118895966,-0.010615711252653925,1.0540709211397465,0.6353446838050676,0.5222929936305732,0.47770700636942676
24,1,14,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.0,1.0933747175566437,0.6632653061224489,0.6428571428571428,0.35714285714285715
