Cluster,State,State_Count,P(-1),P(0),P(+1),Direction,Entropy,Gini,Classification_Error
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(-1), np.int64(-1))",13,0.30565567569972857,0.27768878209406844,0.416655542206203,0.11099986650647442,1.0828624327807697,0.6558617073605103,0.583344457793797
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0))",13,0.4167667868108397,0.49991100431629065,0.08332220887286966,-0.33344457793797,0.9184260860051258,0.5694518426833917,0.5000889956837093
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(-1), np.int64(1))",11,0.2813626351621946,0.374899879855827,0.34373748498197837,0.06237484981978375,1.0916812747514222,0.6621296890369364,0.625100120144173
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0), np.int64(-1))",20,0.30007208650380457,0.47993592310772926,0.21999199038846615,-0.08008009611533842,1.0466327655832504,0.631221776776906,0.5200640768922707
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0), np.int64(0))",23,0.3750643629498255,0.3570856456319011,0.26784999141827337,-0.10721437153155211,1.0883755957748615,0.6600729474259208,0.6249356370501745
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(0), np.int64(1))",8,0.11552324327654724,0.46141523674563323,0.42306151997781954,0.3075382767012723,0.9701501743957245,0.5947693098758959,0.5385847632543668
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(1), np.int64(-1))",12,0.20598836250559494,0.3528469457466607,0.44116469174774436,0.23517632924214943,1.054037785354077,0.6384415421446343,0.5588353082522557
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(1), np.int64(0))",11,0.21886263516219462,0.499899879855827,0.28123748498197837,0.06237484981978375,1.0358901572843908,0.6231047340910013,0.500100120144173
1,"(np.int64(-1), np.int64(-1), np.int64(-1), np.int64(1), np.int64(1))",13,0.250100120144173,0.49991100431629065,0.24998887553953633,-0.00011124460463665664,1.0397824297335365,0.6250444797738262,0.5000889956837093
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1))",16,0.3096096267902435,0.33325705131872535,0.35713332189103114,0.04752369510078763,1.0969171561359239,0.6655374071402318,0.6428666781089689
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(-1), np.int64(0))",28,0.3485394594725792,0.4241938811422191,0.22726665938520163,-0.12127280008737756,1.0678609891071806,0.646929661923954,0.5758061188577809
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(-1), np.int64(1))",14,0.34220011382079546,0.31570516198385434,0.3420947241953502,-0.00010538962544526242,1.0979066736904115,0.6662005324754903,0.6577998861792045
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(0), np.int64(-1))",20,0.22007208650380455,0.4399359231077293,0.3399919903884661,0.11991990388466156,1.0611827138324266,0.6424301067729012,0.5600640768922707
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(0), np.int64(0))",25,0.28339340541983715,0.33327993592310773,0.3833266586570551,0.09993325323721797,1.0910945924625481,0.6616733348384546,0.6166733413429448
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(0), np.int64(1))",21,0.32699239086904286,0.3845537722189704,0.28845383691198667,-0.03853855395705619,1.0916368835694858,0.6619887565566603,0.6154462277810295
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(1), np.int64(-1))",10,0.43345347750634095,0.3998932051795488,0.16665331731411026,-0.2668001601922307,1.0274956797227468,0.6244301791170899,0.566546522493659
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(1), np.int64(0))",31,0.3750500600720865,0.36106661326925643,0.26388332665865705,-0.11116673341342947,1.0871840626382143,0.6593339431337539,0.6249499399279135
1,"(np.int64(-1), np.int64(-1), np.int64(0), np.int64(1), np.int64(1))",19,0.3125750901081297,0.499933253237218,0.18749165665465226,-0.12508343345347747,1.0239558952032115,0.6172104340364402,0.500066746762782
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(-1), np.int64(-1))",11,0.4063626351621946,0.312399879855827,0.28123748498197837,-0.12512515018021625,1.0861670704327244,0.6581812008511134,0.5936373648378054
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(-1), np.int64(0))",14,0.28956853487342704,0.4209683198785912,0.2894631452479818,-0.00010538962544526242,1.0819567908754664,0.6551468248129988,0.5790316801214088
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(-1), np.int64(1))",12,0.38245895074088904,0.29402341633489604,0.3235176329242149,-0.05894131781667411,1.0925973165525071,0.6626117228320476,0.6175410492591109
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(0), np.int64(-1))",13,0.30565567569972857,0.38879989320517955,0.3055444310950919,-0.0001112446046366844,1.0918598569345601,0.66205185158296,0.6112001067948205
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(0), np.int64(0))",21,0.4039154677921198,0.3845537722189704,0.21153075998890977,-0.19238470780321001,1.0622652471392413,0.6442254287289475,0.5960845322078803
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(0), np.int64(1))",10,0.43345347750634095,0.33322653851288214,0.23331998398077694,-0.200133493525564,1.0681089439222111,0.6466399419435926,0.566546522493659
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(1), np.int64(-1))",10,0.43345347750634095,0.1998932051795488,0.36665331731411027,-0.06680016019223067,1.0520543180699304,0.6377261342632652,0.566546522493659
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(1), np.int64(0))",25,0.25006007208650377,0.4332799359231077,0.3166599919903884,0.06659991990388464,1.073115440359173,0.6494649069472074,0.5667200640768923
1,"(np.int64(-1), np.int64(-1), np.int64(1), np.int64(1), np.int64(1))",9,0.3215572973282224,0.2141712912638023,0.4642714114079753,0.14271411407975287,1.0510947593785698,0.6351836190826112,0.5357285885920247
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1), np.int64(-1))",19,0.2709084234414631,0.4582665865705513,0.2708249899879856,-8.343345347749942e-05,1.0651607507738863,0.6432541865394439,0.5417334134294487
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(-1), np.int64(0))",25,0.3167267387531705,0.2999466025897744,0.3833266586570551,0.06659991990388464,1.0928862863519155,0.6627768813164504,0.6166733413429448
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(0), np.int64(-1))",23,0.3393500772355398,0.249942788489044,0.41070713427541616,0.07135705703987638,1.0787728911182315,0.6536897774178295,0.5892928657245838
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(0), np.int64(0))",24,0.25868283319293495,0.44822062336873214,0.29309654343833286,0.03441371024539791,1.0691658019124195,0.6462758808227228,0.5517793766312679
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(0), np.int64(1))",25,0.38339340541983713,0.36661326925644105,0.2499933253237218,-0.13340008009611534,1.082005094265459,0.6561075447792725,0.6166065945801629
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(1), np.int64(-1))",22,0.12969637639241163,0.44438511398863817,0.4259185096189501,0.29622213322653845,0.9888616932120123,0.6042941435799553,0.5556148860113619
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(1), np.int64(0))",25,0.38339340541983713,0.3999466025897744,0.21665999199038846,-0.16673341342944867,1.0654430091905993,0.6461106596282022,0.6000533974102256
1,"(np.int64(-1), np.int64(0), np.int64(-1), np.int64(1), np.int64(1))",15,0.2750901081297557,0.4499199038846616,0.2749899879855827,-0.0001001201441729882,1.0694091864029485,0.6462780190052653,0.5500800961153385
