Cluster_ID,N_States,N_Observations,P(-1),P(0),P(+1),Direction,Entropy,Gini,Classification_Error,Confidence
27,53,1214,0.26194398682042835,0.471993410214168,0.2660626029654036,0.004118616144975273,1.0575478366914668,0.6378182597862934,0.5280065897858319,0.471993410214168
28,6,144,0.3263888888888889,0.3402777777777778,0.3333333333333333,0.00694444444444442,1.0984676022748017,0.6665702160493827,0.6597222222222222,0.3402777777777778
29,1,25,0.32,0.32,0.36,0.03999999999999998,1.0970323903520638,0.6656,0.64,0.36
30,2,43,0.3023255813953488,0.3488372093023256,0.3488372093023256,0.04651162790697677,1.096412960343181,0.6652244456462952,0.6511627906976745,0.3488372093023256
31,2,35,0.3142857142857143,0.3142857142857143,0.37142857142857144,0.05714285714285716,1.0954041286732927,0.6644897959183673,0.6285714285714286,0.37142857142857144
32,6,127,0.30708661417322836,0.30708661417322836,0.3858267716535433,0.07874015748031493,1.0925571415331305,0.6625333250666501,0.6141732283464567,0.3858267716535433
33,2,34,0.35294117647058826,0.20588235294117646,0.4411764705882353,0.08823529411764702,1.0539780582227363,0.6384083044982699,0.5588235294117647,0.4411764705882353
34,6,102,0.2647058823529412,0.38235294117647056,0.35294117647058826,0.08823529411764708,1.0870004469549244,0.6591695501730104,0.6176470588235294,0.38235294117647056
35,1,17,0.23529411764705882,0.4117647058823529,0.35294117647058826,0.11764705882352944,1.073383620336502,0.6505190311418685,0.5882352941176471,0.4117647058823529
36,2,75,0.25333333333333335,0.37333333333333335,0.37333333333333335,0.12,1.0835175378833237,0.6570666666666666,0.6266666666666667,0.37333333333333335
37,10,199,0.21608040201005024,0.4472361809045226,0.33668341708542715,0.12060301507537691,1.0574523253266082,0.6399333350167925,0.5527638190954773,0.4472361809045226
38,2,32,0.3125,0.25,0.4375,0.125,1.0717300941124497,0.6484375,0.5625,0.4375
39,1,16,0.25,0.375,0.375,0.125,1.0821955300387642,0.65625,0.625,0.375
40,5,95,0.2736842105263158,0.3157894736842105,0.4105263157894737,0.13684210526315788,1.0841365164691759,0.6568421052631579,0.5894736842105264,0.4105263157894737
41,3,89,0.29213483146067415,0.2696629213483146,0.43820224719101125,0.1460674157303371,1.0744486605639858,0.6499179396540841,0.5617977528089888,0.43820224719101125
42,15,265,0.15471698113207547,0.5132075471698113,0.3320754716981132,0.17735849056603772,0.9971518679897593,0.6024065503737985,0.4867924528301887,0.5132075471698113
43,17,350,0.23714285714285716,0.29714285714285715,0.4657142857142857,0.22857142857142854,1.0577568496568204,0.6385795918367347,0.5342857142857143,0.4657142857142857
44,1,14,0.14285714285714285,0.35714285714285715,0.5,0.35714285714285715,0.9922819748525709,0.6020408163265306,0.5,0.5
45,2,47,0.10638297872340426,0.425531914893617,0.46808510638297873,0.3617021276595745,0.957280176026369,0.5885015844273427,0.5319148936170213,0.46808510638297873
46,2,30,0.06666666666666667,0.4666666666666667,0.4666666666666667,0.4,0.891867395317248,0.5599999999999999,0.5333333333333333,0.4666666666666667
47,2,22,0.0,0.5909090909090909,0.4090909090909091,0.4090909090909091,0.6765259604934978,0.48347107438016523,0.40909090909090906,0.5909090909090909
48,5,105,0.13333333333333333,0.2857142857142857,0.580952380952381,0.4476190476190477,0.942093399880851,0.5630839002267574,0.419047619047619,0.580952380952381
