Method,Number_of_Clusters,Average_Cluster_Size,Average_Entropy,Average_Confidence,Average_Direction,Silhouette_Score,Cross_Validation_Score
Jensen-Shannon,2,2497.0,0.9822198519020635,0.5312613366020934,0.24244958434050093,0.4589630322441007,
SSE,2,2497.0,0.9822198519020635,0.5312613366020934,0.24244958434050093,0.4859729283095639,
Entropy Tree,45,110.97777777777777,1.0470336405896146,0.4240544325535226,-0.014513140885546913,,0.8145408163265305
Gini Tree,48,104.04166666666667,1.036613144057734,0.4299573541988238,-0.004292550945971553,,0.8063775510204081
